x:  computed_derivativen = 1000runtime: 8.3e-05
0.5005   0.492815
0.501499   0.491882
0.502498   0.490949
0.503497   0.490016
0.504496   0.489082
0.505495   0.488147
0.506494   0.487211
0.507493   0.486275
0.508492   0.485338
0.509491   0.484401
0.51049   0.483463
0.511489   0.482524
0.512488   0.481585
0.513487   0.480645
0.514486   0.479705
0.515485   0.478764
0.516484   0.477822
0.517483   0.47688
0.518482   0.475937
0.519481   0.474994
0.52048   0.47405
0.521479   0.473106
0.522478   0.472161
0.523477   0.471215
0.524476   0.470269
0.525475   0.469323
0.526474   0.468376
0.527473   0.467428
0.528472   0.46648
0.529471   0.465532
0.53047   0.464582
0.531469   0.463633
0.532468   0.462683
0.533467   0.461732
0.534466   0.460781
0.535465   0.45983
0.536464   0.458878
0.537463   0.457925
0.538462   0.456973
0.539461   0.456019
0.54046   0.455065
0.541459   0.454111
0.542458   0.453156
0.543457   0.452201
0.544456   0.451246
0.545455   0.45029
0.546454   0.449333
0.547453   0.448376
0.548452   0.447419
0.549451   0.446461
0.55045   0.445503
0.551449   0.444545
0.552448   0.443586
0.553447   0.442627
0.554446   0.441667
0.555445   0.440707
0.556444   0.439746
0.557443   0.438785
0.558442   0.437824
0.559441   0.436863
0.56044   0.435901
0.561439   0.434938
0.562438   0.433976
0.563437   0.433012
0.564436   0.432049
0.565435   0.431085
0.566434   0.430121
0.567433   0.429157
0.568432   0.428192
0.569431   0.427227
0.57043   0.426261
0.571429   0.425295
0.572428   0.424329
0.573427   0.423363
0.574426   0.422396
0.575425   0.421429
0.576424   0.420461
0.577423   0.419494
0.578422   0.418525
0.579421   0.417557
0.58042   0.416588
0.581419   0.415619
0.582418   0.41465
0.583417   0.413681
0.584416   0.412711
0.585415   0.411741
0.586414   0.41077
0.587413   0.409799
0.588412   0.408828
0.589411   0.407857
0.59041   0.406886
0.591409   0.405914
0.592408   0.404942
0.593407   0.403969
0.594406   0.402997
0.595405   0.402024
0.596404   0.401051
0.597403   0.400077
0.598402   0.399104
0.599401   0.39813
0.6004   0.397155
0.601399   0.396181
0.602398   0.395206
0.603397   0.394232
0.604396   0.393256
0.605395   0.392281
0.606394   0.391305
0.607393   0.39033
0.608392   0.389354
0.609391   0.388377
0.61039   0.387401
0.611389   0.386424
0.612388   0.385447
0.613387   0.38447
0.614386   0.383492
0.615385   0.382515
0.616384   0.381537
0.617383   0.380559
0.618382   0.379581
0.619381   0.378602
0.62038   0.377624
0.621379   0.376645
0.622378   0.375666
0.623377   0.374687
0.624376   0.373707
0.625375   0.372727
0.626374   0.371748
0.627373   0.370768
0.628372   0.369787
0.629371   0.368807
0.63037   0.367826
0.631369   0.366846
0.632368   0.365865
0.633367   0.364884
0.634366   0.363902
0.635365   0.362921
0.636364   0.361939
0.637363   0.360957
0.638362   0.359975
0.639361   0.358993
0.64036   0.358011
0.641359   0.357028
0.642358   0.356046
0.643357   0.355063
0.644356   0.35408
0.645355   0.353097
0.646354   0.352113
0.647353   0.35113
0.648352   0.350146
0.649351   0.349163
0.65035   0.348179
0.651349   0.347195
0.652348   0.346211
0.653347   0.345226
0.654346   0.344242
0.655345   0.343257
0.656344   0.342272
0.657343   0.341287
0.658342   0.340302
0.659341   0.339317
0.66034   0.338332
0.661339   0.337346
0.662338   0.336361
0.663337   0.335375
0.664336   0.334389
0.665335   0.333403
0.666334   0.332417
0.667333   0.331431
0.668332   0.330444
0.669331   0.329458
0.67033   0.328471
0.671329   0.327484
0.672328   0.326498
0.673327   0.325511
0.674326   0.324523
0.675325   0.323536
0.676324   0.322549
0.677323   0.321561
0.678322   0.320574
